date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:27:30	21065/21065	---M-Z	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2003:57:46%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/index.html	(from )
15:27:33	708/708	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2010%20Nov%202023%2008:27:54%20GMT	https://team90degree.com/robots.txt		(from )
15:27:33	1023/1023	---M--	200	added ('OK')	image/png	date:Fri,%2017%20Feb%202017%2006:37:36%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/img/icon/favicon.png	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/img/icon/favicon.png	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
15:27:34	121200/121200	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Jul%202016%2013:53:28%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/css/bootstrap.min.css	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/css/bootstrap.min.css	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
15:27:35	31000/31000	---M-Z	200	added ('OK')	text/css	date:Tue,%2029%20Nov%202016%2016:10:10%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/css/font-awesome.min.css	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/css/font-awesome.min.css	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
15:27:35	70815/70815	---M-Z	200	added ('OK')	text/css	date:Tue,%2021%20Jun%202016%2017:20:06%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/css/material-design-iconic-font.min.css	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/css/material-design-iconic-font.min.css	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
15:27:36	51304/51304	---M-Z	200	added ('OK')	text/css	date:Thu,%2001%20Dec%202016%2004:08:00%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/css/ionicons.min.css	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/css/ionicons.min.css	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
15:27:36	27989/27989	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202017%2001:21:16%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/css/animate-heading.css	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/css/animate-heading.css	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
15:27:37	58305/58305	---M-Z	200	added ('OK')	text/css	date:Sat,%2001%20Apr%202017%2003:43:12%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/css/css-plugin.css	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/css/css-plugin.css	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
15:27:37	10770/10770	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20Mar%202017%2004:31:22%20GMT	https://team90degree.com/html/tf/umbrella-preview/umbrella/css/customize.css	C:/My%20Web%20Sites/portofolio2/team90degree.com/html/tf/umbrella-preview/umbrella/css/customize.css	(from https://team90degree.com/html/tf/umbrella-preview/umbrella/index.html)
